2025-11-06 10:10:46,982 - INFO - cache_registration_check: CACHE MISS (hit=0, miss=1, hit%=0.0)
2025-11-06 10:11:05,353 - INFO - cache_new_user_price_w_city: CACHE MISS (hit=0, miss=1, hit%=0.0)
2025-11-06 10:15:35,847 - INFO - cache_company_by_chat: CACHE HIT (hit=1, miss=0, hit%=100.0)
2025-11-06 10:15:35,851 - INFO - cache_new_user_without_info: CACHE HIT (hit=1, miss=0, hit%=100.0)
2025-11-06 10:19:43,396 - INFO - cache_company_by_chat: CACHE HIT (hit=2, miss=0, hit%=100.0)
2025-11-06 10:19:43,399 - INFO - cache_new_user_without_info: CACHE HIT (hit=2, miss=0, hit%=100.0)
2025-11-06 10:19:57,480 - INFO - cache_registration_check: CACHE MISS (hit=0, miss=2, hit%=0.0)
2025-11-06 10:20:15,505 - INFO - cache_registration_check: CACHE HIT (hit=1, miss=2, hit%=33.33)
2025-11-06 10:20:34,500 - INFO - cache_new_user_price_w_city: CACHE MISS (hit=0, miss=2, hit%=0.0)
2025-11-06 10:21:00,980 - INFO - cache_new_user_price_w_city: CACHE MISS (hit=0, miss=3, hit%=0.0)
2025-11-06 10:21:14,585 - INFO - cache_new_user_price_w_city: CACHE MISS (hit=0, miss=4, hit%=0.0)
2025-11-06 10:21:19,051 - INFO - cache_company_by_chat: CACHE HIT (hit=3, miss=0, hit%=100.0)
2025-11-06 10:21:19,082 - INFO - cache_new_user_price_w_city: CACHE HIT (hit=1, miss=4, hit%=20.0)
2025-11-06 10:22:03,669 - INFO - cache_new_user_price_w_city: CACHE MISS (hit=1, miss=5, hit%=16.67)
2025-11-06 10:22:27,359 - INFO - cache_company_periods_get: CACHE MISS (hit=0, miss=1, hit%=0.0)
2025-11-06 10:26:42,336 - INFO - cache_new_user_price_w_city: CACHE MISS (hit=1, miss=6, hit%=14.29)
2025-11-06 10:26:48,759 - INFO - cache_new_user_price_w_city: CACHE HIT (hit=2, miss=6, hit%=25.0)
2025-11-06 10:33:46,090 - INFO - cache_registration_check: CACHE MISS (hit=0, miss=1, hit%=0.0)
2025-11-06 10:33:54,937 - INFO - cache_new_user_price_w_city: CACHE MISS (hit=0, miss=1, hit%=0.0)
2025-11-06 10:37:22,790 - INFO - cache_registration_check: CACHE MISS (hit=0, miss=2, hit%=0.0)
